metric,READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,source,checkpoint,lineage,alpha,window,source_file,n_pos,n_neg,auroc_recomputed,tpr@1fpr,tpr@1fpr_point,smallest_resolvable_step,tpr@5fpr,tpr@5fpr_point,power_sentence,mde_80pct,auroc_k16,auroc_k16_mean,auroc_k32,auroc_k32_mean,auroc_k64,auroc_k64_mean,delta_tpr@1fpr,equivalence_verdict,equivalence_margin,equivalence_margin_achieved,p_tost,p_two_sided,auroc_stored,splithalf_stored,cos_rcontent_rrequest_stored
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,0.00,LATE,LANE_B/out/harvest/L1_a0.00.part*.npz,384.0,384.0,0.910272,"0.3750 [0.3264, 0.4255]",0.375,0.0026041666666666665,"0.6432 [0.5931, 0.6912]",0.6432291666666666,"with this outcome and n = 384, a degradation of 0.0693 TPR units would have been detected at power 0.80",0.06925949392495705,"0.5280 [0.4950, 0.5712]",0.5279502355421005,"0.5608 [0.5133, 0.6202]",0.5607937662452741,"0.6312 [0.5780, 0.6808]",0.6311900342200413,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,0.25,LATE,LANE_B/out/harvest/L1_a0.25.part*.npz,384.0,384.0,0.908956,"0.3672 [0.3189, 0.4176]",0.3671875,0.0026041666666666665,"0.6432 [0.5931, 0.6912]",0.6432291666666666,"with this outcome and n = 384, a degradation of 0.0689 TPR units would have been detected at power 0.80",0.068926436959551,"0.5273 [0.4937, 0.5711]",0.5272620706484834,"0.5595 [0.5120, 0.6185]",0.5595022669541588,"0.6289 [0.5759, 0.6778]",0.6288921665160124,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,0.50,LATE,LANE_B/out/harvest/L1_a0.50.part*.npz,384.0,384.0,0.907633,"0.3802 [0.3314, 0.4308]",0.3802083333333333,0.0026041666666666665,"0.6328 [0.5824, 0.6811]",0.6328125,"with this outcome and n = 384, a degradation of 0.0696 TPR units would have been detected at power 0.80",0.06963769695955264,"0.5266 [0.4930, 0.5708]",0.5265673098687188,"0.5584 [0.5096, 0.6180]",0.5583688637169187,"0.6272 [0.5726, 0.6776]",0.6272054574509297,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,0.75,LATE,LANE_B/out/harvest/L1_a0.75.part*.npz,384.0,384.0,0.904663,"0.3750 [0.3264, 0.4255]",0.375,0.0026041666666666665,"0.6172 [0.5665, 0.6660]",0.6171875,"with this outcome and n = 384, a degradation of 0.0695 TPR units would have been detected at power 0.80",0.069530027323231,"0.5258 [0.4932, 0.5717]",0.5257683942111815,"0.5569 [0.5121, 0.6147]",0.5568735600779773,"0.6242 [0.5690, 0.6733]",0.6242492373127583,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,1.00,LATE,LANE_B/out/harvest/L1_a1.00.part*.npz,384.0,384.0,0.895474,"0.2917 [0.2467, 0.3399]",0.2916666666666667,0.0026041666666666665,"0.5781 [0.5270, 0.6281]",0.578125,"with this outcome and n = 384, a degradation of 0.0651 TPR units would have been detected at power 0.80",0.06510944554499491,"0.5249 [0.4931, 0.5710]",0.5248687188773201,"0.5552 [0.5103, 0.6155]",0.5551654802693762,"0.6212 [0.5672, 0.6725]",0.621159022307593,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,0.00,EARLY,LANE_B/out/harvest/L1_a0.00.part*.npz,384.0,384.0,0.963304,"0.5208 [0.4696, 0.5718]",0.5208333333333334,0.0026041666666666665,"0.8281 [0.7866, 0.8645]",0.828125,"with this outcome and n = 384, a degradation of 0.0720 TPR units would have been detected at power 0.80",0.07195127394079866,,,,,,,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,0.25,EARLY,LANE_B/out/harvest/L1_a0.25.part*.npz,384.0,384.0,0.962531,"0.5026 [0.4514, 0.5537]",0.5026041666666666,0.0026041666666666665,"0.8229 [0.7810, 0.8598]",0.8229166666666666,"with this outcome and n = 384, a degradation of 0.0722 TPR units would have been detected at power 0.80",0.07217779002455749,,,,,,,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,0.50,EARLY,LANE_B/out/harvest/L1_a0.50.part*.npz,384.0,384.0,0.961155,"0.4974 [0.4463, 0.5486]",0.4973958333333333,0.0026041666666666665,"0.8229 [0.7810, 0.8598]",0.8229166666666666,"with this outcome and n = 384, a degradation of 0.0720 TPR units would have been detected at power 0.80",0.07203581806015474,,,,,,,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,0.75,EARLY,LANE_B/out/harvest/L1_a0.75.part*.npz,384.0,384.0,0.959744,"0.4818 [0.4308, 0.5330]",0.4817708333333333,0.0026041666666666665,"0.8203 [0.7782, 0.8574]",0.8203125,"with this outcome and n = 384, a degradation of 0.0723 TPR units would have been detected at power 0.80",0.0723266591913387,,,,,,,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L1 (Qwen/Qwen3-4B-Base),L1,1.00,EARLY,LANE_B/out/harvest/L1_a1.00.part*.npz,384.0,384.0,0.955499,"0.4818 [0.4308, 0.5330]",0.4817708333333333,0.0026041666666666665,"0.7734 [0.7282, 0.8144]",0.7734375,"with this outcome and n = 384, a degradation of 0.0721 TPR units would have been detected at power 0.80",0.07213677533603581,,,,,,,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L2 (Qwen/Qwen3-4B),L2,0.00,LATE,LANE_B/out/harvest/L2_a0.00.part*.npz,384.0,384.0,0.972154,"0.6198 [0.5692, 0.6686]",0.6197916666666666,0.0026041666666666665,"0.8177 [0.7754, 0.8550]",0.8177083333333334,"with this outcome and n = 384, a degradation of 0.0687 TPR units would have been detected at power 0.80",0.06866100800276025,"0.6786 [0.5767, 0.7729]",0.6786360485513808,"0.7624 [0.6773, 0.8357]",0.7623699639650283,"0.8580 [0.8109, 0.8998]",0.8580270612732438,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L2 (Qwen/Qwen3-4B),L2,0.25,LATE,LANE_B/out/harvest/L2_a0.25.part*.npz,384.0,384.0,0.972331,"0.6016 [0.5507, 0.6509]",0.6015625,0.0026041666666666665,"0.8229 [0.7810, 0.8598]",0.8229166666666666,"with this outcome and n = 384, a degradation of 0.0693 TPR units would have been detected at power 0.80",0.0693117889178405,"0.6758 [0.5755, 0.7714]",0.6758072268277502,"0.7600 [0.6747, 0.8338]",0.7600249955694707,"0.8567 [0.8102, 0.8993]",0.8566806963455579,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L2 (Qwen/Qwen3-4B),L2,0.50,LATE,LANE_B/out/harvest/L2_a0.50.part*.npz,384.0,384.0,0.970818,"0.6120 [0.5612, 0.6610]",0.6119791666666666,0.0026041666666666665,"0.8021 [0.7587, 0.8408]",0.8020833333333334,"with this outcome and n = 384, a degradation of 0.0690 TPR units would have been detected at power 0.80",0.06901914199830977,"0.6721 [0.5716, 0.7697]",0.6721200557378905,"0.7562 [0.6755, 0.8299]",0.7561895601961248,"0.8537 [0.8057, 0.8963]",0.8537191495028409,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L2 (Qwen/Qwen3-4B),L2,0.75,LATE,LANE_B/out/harvest/L2_a0.75.part*.npz,384.0,384.0,0.968974,"0.5391 [0.4878, 0.5898]",0.5390625,0.0026041666666666665,"0.8177 [0.7754, 0.8550]",0.8177083333333334,"with this outcome and n = 384, a degradation of 0.0711 TPR units would have been detected at power 0.80",0.07113647102843368,"0.6692 [0.5708, 0.7678]",0.6691579723574016,"0.7530 [0.6733, 0.8260]",0.7530471334475426,"0.8521 [0.8040, 0.8946]",0.8521288658961776,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L2 (Qwen/Qwen3-4B),L2,1.00,LATE,LANE_B/out/harvest/L2_a1.00.part*.npz,384.0,384.0,0.958333,"0.4349 [0.3847, 0.4861]",0.4348958333333333,0.0026041666666666665,"0.7760 [0.7310, 0.8168]",0.7760416666666666,"with this outcome and n = 384, a degradation of 0.0710 TPR units would have been detected at power 0.80",0.071004996479511,"0.6648 [0.5681, 0.7651]",0.6648102577523767,"0.7487 [0.6692, 0.8219]",0.7486737579749528,"0.8491 [0.8029, 0.8929]",0.8491106017561983,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L2 (Qwen/Qwen3-4B),L2,0.00,EARLY,LANE_B/out/harvest/L2_a0.00.part*.npz,384.0,384.0,0.989319,"0.6875 [0.6385, 0.7336]",0.6875,0.0026041666666666665,"0.9635 [0.9396, 0.9799]",0.9635416666666666,"with this outcome and n = 384, a degradation of 0.0664 TPR units would have been detected at power 0.80",0.06636966311557538,,,,,,,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L2 (Qwen/Qwen3-4B),L2,0.25,EARLY,LANE_B/out/harvest/L2_a0.25.part*.npz,384.0,384.0,0.989305,"0.7109 [0.6628, 0.7558]",0.7109375,0.0026041666666666665,"0.9609 [0.9364, 0.9780]",0.9609375,"with this outcome and n = 384, a degradation of 0.0649 TPR units would have been detected at power 0.80",0.06492427589495471,,,,,,,,,,,,,,,
M1,activation,False,True,(a) LANE_B per-item band activations,L2 (Qwen/Qwen3-4B),L2,0.50,EARLY,LANE_B/out/harvest/L2_a0.50.part*.npz,384.0,384.0,0.988566,"0.7057 [0.6574, 0.7509]",0.7057291666666666,0.0026041666666666665,"0.9531 [0.9269, 0.9720]",0.953125,"with this outcome and n = 384, a degradation of 0.0655 TPR units would have been detected at power 0.80",0.06545056827835338,,,,,,,,,,,,,,,
