metric,READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,pair,ckpt_a,ckpt_b,axis,layer,abs_cos,rotation,source_file,json_path
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,AT_BAND,0.915155,0.084845,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.at_band
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,0,0.995648,0.004352,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[0]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,1,0.981824,0.018176,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[1]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,2,0.978619,0.021381,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[2]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,3,0.973083,0.026917,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[3]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,4,0.968167,0.031833,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[4]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,5,0.962659,0.037341,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[5]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,6,0.957843,0.042157,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[6]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,7,0.961861,0.038139,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[7]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,8,0.963401,0.036599,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[8]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,9,0.959637,0.040363,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[9]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,10,0.951119,0.048881,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[10]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,11,0.948183,0.051817,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[11]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,12,0.940157,0.059843,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[12]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,13,0.940546,0.059454,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[13]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,14,0.935744,0.064256,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[14]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,15,0.933744,0.066256,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[15]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,16,0.925033,0.074967,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[16]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,17,0.917587,0.082413,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[17]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,18,0.909036,0.090964,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[18]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,19,0.905972,0.094028,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[19]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,20,0.900969,0.099031,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[20]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,21,0.90109,0.09891,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[21]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,22,0.907217,0.092783,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[22]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,23,0.91228,0.08772,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[23]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,24,0.926116,0.073884,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[24]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,25,0.928512,0.071488,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[25]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,26,0.93107,0.06893,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[26]
M3c,activation,False,True,NonSafetyFT-STaR||Qwen3-4B,NonSafetyFT-STaR,Qwen3-4B,r_content,27,0.93017,0.06983,LANE_A/out/released/cross_checkpoint_directions.json,pairs.NonSafetyFT-STaR||Qwen3-4B.r_content.per_layer_abs[27]
