READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,k,candidate,target,source_file,accuracy,ci_low,ci_high,ci_method,n_families,n_pairs,note
activation,False,True,0.0,K1,safe_engagement_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K1.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K1,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.642,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K1.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K1,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.642,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K1.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K1,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.567,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K1.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,32.0,K1,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.612,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K1.budget_curve.32 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,96.0,K1,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.671,0.5612422360248447,0.7932298946976051,bca_cluster,7.0,211.0,reconstructed from targets.safe_engagement_rate.candidates.K1.per_family.<family>.acc (macro mean matches mean_acc and budget_curve[96] within 0.001)
activation,False,True,0.0,K2,safe_engagement_rate,LANE_C/results/s3/s3_results.json,,,,NOT_RUN_BY_LANE_C,,,"k=0 searched at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K2.budget_curve.0 -- ABSENT. Registered budget_ks (prereg.json.s3_decision_rule.budget_ks) = [4, 8, 16, 32, 96]; k=0 WAS NOT RUN by Lane C. Not imputed."
activation,False,True,4.0,K2,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.646,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K2.budget_curve.4 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,8.0,K2,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.646,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K2.budget_curve.8 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
activation,False,True,16.0,K2,safe_engagement_rate,LANE_C/results/s3/s3_results.json,0.646,,,NOT_RECONSTRUCTIBLE_FROM_STORED_SCALAR,7.0,,"Only a pooled scalar is stored at LANE_C/results/s3/s3_results.json :: targets.safe_engagement_rate.candidates.K2.budget_curve.16 -- no per-family breakdown exists for this budget in Lane C's output, so no family-clustered interval can be built."
