metric,READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,checkpoint,cos_content_ablit_at_band,split_half_cosine_G1,A_shuffled_label_band_p975,A_term_std,CB_term_std,A_escapes_band,source_file,baseline,baseline_value,json_path
M8.commissioned,activation,False,True,NonSafetyFT-STaR,0.04823780328863197,,11.473274714732348,-4.254065470271278,13.243296955063252,False,LANE_A/out/method_out.json,,,
M8.commissioned,activation,False,True,NonSafetyFT-STaR,,,,,,,LANE_A/out/method_out.json,B1 (diff-in-means AUROC),,metadata.baselines.B1.NonSafetyFT-STaR
M8.commissioned,activation,False,True,NonSafetyFT-STaR,,,,,,,LANE_A/out/method_out.json,B2 (supervised probe AUROC),,metadata.baselines.B2.NonSafetyFT-STaR
M8.commissioned,activation,False,True,NonSafetyFT-STaR,,,,,,,LANE_A/out/method_out.json,B3 (cluster separation),,metadata.baselines.B3.NonSafetyFT-STaR
M8.commissioned,logit,True,True,NonSafetyFT-STaR,,,,,,,LANE_A/out/method_out.json,B4 (first-token refusal-logit gap),,metadata.baselines.B4.NonSafetyFT-STaR
M8.commissioned,activation,False,True,Qwen3-4B,0.07823375452102886,,11.775488564627633,-7.475109908346373,16.87422474289028,False,LANE_A/out/method_out.json,,,
M8.commissioned,activation,False,True,Qwen3-4B,,,,,,,LANE_A/out/method_out.json,B1 (diff-in-means AUROC),,metadata.baselines.B1.Qwen3-4B
M8.commissioned,activation,False,True,Qwen3-4B,,,,,,,LANE_A/out/method_out.json,B2 (supervised probe AUROC),,metadata.baselines.B2.Qwen3-4B
M8.commissioned,activation,False,True,Qwen3-4B,,,,,,,LANE_A/out/method_out.json,B3 (cluster separation),,metadata.baselines.B3.Qwen3-4B
M8.commissioned,logit,True,True,Qwen3-4B,,,,,,,LANE_A/out/method_out.json,B4 (first-token refusal-logit gap),,metadata.baselines.B4.Qwen3-4B
M8.commissioned,activation,False,True,Qwen3-4B-Base-chat,0.0662097746713294,,11.041308571591605,-4.390740941871456,13.036051961913726,False,LANE_A/out/method_out.json,,,
M8.commissioned,activation,False,True,Qwen3-4B-Base-chat,,,,,,,LANE_A/out/method_out.json,B1 (diff-in-means AUROC),,metadata.baselines.B1.Qwen3-4B-Base-chat
M8.commissioned,activation,False,True,Qwen3-4B-Base-chat,,,,,,,LANE_A/out/method_out.json,B2 (supervised probe AUROC),,metadata.baselines.B2.Qwen3-4B-Base-chat
