checkpoint,curve,layer,value
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,0,0.0
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,1,0.03765963443256505
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,2,0.05248864663129738
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,3,0.06273225306883093
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,4,0.08239346341084255
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,5,0.08439308319784418
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,6,0.09815488419646794
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,7,0.12132234808883977
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,8,0.14733177778367434
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,9,0.20386424882018978
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,10,0.20010709280135686
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,11,0.18524525429659222
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,12,0.1834432847195989
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,13,0.1794955357845544
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,14,0.18226298471310792
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,15,0.16219290442706288
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,16,0.17358017083427443
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,17,0.18889394066955645
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,18,0.2017636948257458
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,19,0.22056115900186224
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,20,0.2438376803727124
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,21,0.2564320555658377
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,22,0.28676829769847084
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,23,0.3712436602766884
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,24,0.4194806967331862
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,25,0.3957842498813705
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,26,0.3954235463145939
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,27,0.39454321840545736
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,28,0.4083227966796843
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,29,0.40561079483663753
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,30,0.3952109825937186
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,31,0.3972059586742808
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,32,0.39786494655091653
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,33,0.3735987838521961
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,34,0.3611478200380883
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,35,0.30759526099226275
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x1_g_curve,36,0.3483900144266704
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,0,0.5
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,1,0.609375
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,2,0.7009548611111112
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,3,0.68359375
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,4,0.9444444444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,5,0.9348958333333334
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,6,0.9809027777777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,7,0.9848090277777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,8,0.9900173611111112
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,9,0.9973958333333334
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,10,0.9926215277777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,11,0.9856770833333334
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,12,0.9830729166666666
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,13,0.9769965277777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,14,0.9826388888888888
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,15,0.9848090277777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,16,0.98828125
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,17,0.9878472222222222
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,18,0.9891493055555556
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,19,0.9904513888888888
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,20,0.9861111111111112
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,21,0.9887152777777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,22,0.9852430555555556
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,23,0.9991319444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,24,0.9973958333333334
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,25,0.9986979166666666
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,26,0.9995659722222222
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,27,1.0
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,28,1.0
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,29,1.0
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,30,0.9986979166666666
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,31,0.9991319444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,32,0.9991319444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,33,0.9991319444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,34,0.9973958333333334
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,35,0.9978298611111112
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,36,0.98046875
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,0,
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,1,2.714460637193835
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,2,4.043652542319888
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,3,5.166258389272881
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,4,5.081665644943735
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,5,4.105056292465908
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,6,3.4605561668029963
