source,checkpoint,arm,s_key,s_layer,start_d,start_d_ci,fixed_spearman,fixed_spearman_ci,fixed_ratio_normgap,fixed_ratio_ci,fixed_raw_ratio,own_axis_d_ratio,cos_start_end,verdict
"A_prompt (HARD-scored, EASY-fit axis)",Qwen--Qwen3-4B-Base,Base (chat template),s25,9.0,0.14653714459545356,"[-0.20240390339709244, 0.45159727924919807]",-0.6590038314176245,"[-0.9178981937602627, 0.4620142309797467]",,"[None, None]",,1.0,"[1.0, 0.0631377100944519]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",Qwen--Qwen3-4B-Base,Base (chat template),s25,9.0,3.548121850206235,"[3.0163950616047965, 4.436335626748488]",-0.9381499726327313,"[-0.9594964422550629, -0.9074712643678161]",1.0,"[1.0, 1.0]",,1.340204444908089,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",Qwen--Qwen3-4B-Base,Base (chat template),s36,13.0,-0.03988560209951259,"[-0.3808550003325423, 0.2776324727121384]",0.31217391304347825,"[-0.9800434782608696, 0.9618260869565216]",,"[None, None]",,2.0469968885364063,"[1.0000001192092896, 0.05153735727071762]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",Qwen--Qwen3-4B-Base,Base (chat template),s36,13.0,3.219094164687888,"[2.7086182671027266, 4.1231211709536755]",-0.9904347826086957,"[-0.9991304347826087, -0.9843478260869565]",1.0,"[1.0, 1.0]",,1.4771884360776246,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",Qwen--Qwen3-4B,instruct,s25,9.0,-0.05517034797179419,"[-0.4198270657683994, 0.25988061895792475]",-0.8423645320197044,"[-0.905623973727422, -0.5152298850574714]",,"[None, None]",,44.3637850820259,"[0.9999999403953552, 0.014690076932311058]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",Qwen--Qwen3-4B,instruct,s25,9.0,4.0036888078908595,"[2.9377097678969415, 5.768525792405987]",-0.9337712096332786,"[-0.9543103448275861, -0.8992884510125889]",1.0,"[1.0, 1.0]",,1.873613367200366,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",Qwen--Qwen3-4B,instruct,s36,13.0,-0.1244912619770065,"[-0.4732533640552443, 0.1898703615213475]",-0.5078260869565218,"[-0.7130434782608696, -0.15604347826087]",,"[None, None]",,19.660540197378072,"[1.0, 0.032633405178785324]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",Qwen--Qwen3-4B,instruct,s36,13.0,3.9005799361254727,"[2.9752012829874013, 5.31301255418833]",-0.8182608695652174,"[-0.8652173913043478, -0.78]",1.0,"[1.0, 1.0]",,1.9231409153035008,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",Qwen--Qwen3-4B-SafeRL,SafeRL,s25,9.0,-0.07212574798403674,"[-0.43067538380544235, 0.24325461076258642]",-0.80623973727422,"[-0.909168035030104, -0.546455938697318]",,"[None, None]",,32.452739179154015,"[0.9999998807907104, 0.005890103057026863]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",Qwen--Qwen3-4B-SafeRL,SafeRL,s25,9.0,3.9688241959169517,"[2.92431207549505, 5.736038748267806]",-0.9611384783798577,"[-0.9655172413793104, -0.9419540229885057]",1.0,"[1.0, 1.0]",,2.0737148363055926,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",Qwen--Qwen3-4B-SafeRL,SafeRL,s36,13.0,-0.13879761193108622,"[-0.48600457027768845, 0.18299038721218508]",-0.54,"[-0.7656739130434782, -0.1622608695652177]",,"[None, None]",,16.86396512779699,"[1.0, 0.026863563805818558]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",Qwen--Qwen3-4B-SafeRL,SafeRL,s36,13.0,3.9359587712684507,"[2.9565444943749726, 5.378925938549159]",-0.8652173913043478,"[-0.9, -0.8078260869565217]",1.0,"[1.0, 1.0]",,2.091030444180498,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,STaR non-safety FT of Base,s25,9.0,-0.09607566233235161,"[-0.4474242097887105, 0.22262723883849084]",0.5500821018062397,"[-0.7118226600985221, 0.7887246852764094]",,"[None, None]",,6.059882754120431,"[1.0, 0.04538516700267792]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,STaR non-safety FT of Base,s25,9.0,3.715800139930745,"[3.1758037378608495, 4.558972146770715]",-0.8899835796387521,"[-0.9077859879584017, -0.8650656814449919]",1.0,"[1.0, 1.0]",,1.27270856028943,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,STaR non-safety FT of Base,s36,13.0,-0.16827117784168324,"[-0.5169231395540698, 0.1495056606358968]",0.628695652173913,"[-0.7667608695652174, 0.8708913043478261]",,"[None, None]",,3.4599344743773113,"[1.0, 0.07997041940689087]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,STaR non-safety FT of Base,s36,13.0,3.159994188090367,"[2.593755689259352, 3.9940424356120663]",-0.9695652173913043,"[-0.9804565217391304, -0.9482391304347826]",1.0,"[1.0, 1.0]",,1.496563083640482,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",mlabonne--Qwen3-4B-abliterated,mlabonne abliterated (child of instruct),s25,9.0,-0.0642506655188502,"[-0.43171361660971735, 0.24845320051481146]",-0.1839080459770115,"[-0.6215243568691845, 0.6724274767378216]",,"[None, None]",,11.101645847592813,"[1.0, 0.05317971110343933]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",mlabonne--Qwen3-4B-abliterated,mlabonne abliterated (child of instruct),s25,9.0,3.9421635619364186,"[2.8684558029720715, 5.723468077650529]",-0.8719211822660099,"[-0.9237137383689108, -0.7580459770114942]",1.0,"[1.0, 1.0]",,1.3858128850565388,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",mlabonne--Qwen3-4B-abliterated,mlabonne abliterated (child of instruct),s36,13.0,-0.10663323210315649,"[-0.4604428207634527, 0.2101331134891125]",0.15043478260869564,"[-0.7060869565217391, 0.8583043478260869]",,"[None, None]",,6.689172971634082,"[1.0, 0.0958709567785263]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",mlabonne--Qwen3-4B-abliterated,mlabonne abliterated (child of instruct),s36,13.0,3.875529364781575,"[2.9438292205618493, 5.310181828114281]",-0.8782608695652174,"[-0.9261304347826087, -0.7986739130434782]",1.0,"[1.0, 1.0]",,1.409639960098656,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",huihui-ai--Huihui-Qwen3-0.6B-abliterated-v2,huihui-ai--Huihui-Qwen3-0.6B-abliterated-v2,s25,7.0,-0.10459839247070783,"[-0.43545479423344385, 0.22076712844053398]",-0.5448898927159797,"[-0.821089779785432, 0.18769057029926522]",,"[None, None]",,1.6135622074158011,"[0.9999998807907104, 0.05601105839014053]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",huihui-ai--Huihui-Qwen3-0.6B-abliterated-v2,huihui-ai--Huihui-Qwen3-0.6B-abliterated-v2,s25,7.0,3.1604784175710146,"[2.4457954749956667, 4.241334764474537]",-0.9040090344438171,"[-0.9565499717673631, -0.8565217391304348]",1.0,"[1.0, 1.0]",,1.187527644052728,"[None, None]",NO_GROWTH
"A_prompt (HARD-scored, EASY-fit axis)",huihui-ai--Huihui-Qwen3-0.6B-abliterated-v2,huihui-ai--Huihui-Qwen3-0.6B-abliterated-v2,s36,10.0,-0.09938529346179889,"[-0.4517908930365717, 0.21842480564397942]",-0.7807017543859649,"[-0.9508771929824561, 0.4413596491228069]",,"[None, None]",,1.698199071194097,"[1.0, 0.13425937294960022]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",huihui-ai--Huihui-Qwen3-0.6B-abliterated-v2,huihui-ai--Huihui-Qwen3-0.6B-abliterated-v2,s36,10.0,3.2315903191119486,"[2.444103601946187, 4.470216480512667]",-0.9631578947368421,"[-0.9754385964912281, -0.9315789473684211]",1.0,"[1.0, 1.0]",,1.1613958202254364,"[None, None]",NO_GROWTH
"A_prompt (HARD-scored, EASY-fit axis)",Qwen--Qwen3-0.6B,Qwen--Qwen3-0.6B,s25,7.0,-0.07725241354697272,"[-0.4128423352866951, 0.23162277779179863]",0.3619424054206663,"[-0.4613777526821005, 0.7290231507622812]",,"[None, None]",,19.58804750107659,"[1.000000238418579, 0.09361931681632996]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",Qwen--Qwen3-0.6B,Qwen--Qwen3-0.6B,s25,7.0,3.0536821718978566,"[2.2621660447488448, 4.218010538746551]",-0.6081309994353472,"[-0.7736024844720497, -0.4144268774703557]",1.0,"[1.0, 1.0]",,1.5838145856191068,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",Qwen--Qwen3-0.6B,Qwen--Qwen3-0.6B,s36,10.0,-0.05693373851323642,"[-0.42375518178538335, 0.24582380964567646]",-0.8157894736842105,"[-0.9228070175438596, -0.23482456140350902]",,"[None, None]",,26.578685778365102,"[0.9999998807907104, 0.10270047932863235]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",Qwen--Qwen3-0.6B,Qwen--Qwen3-0.6B,s36,10.0,3.319516924356468,"[2.5460217673355516, 4.553532293427869]",-0.9070175438596492,"[-0.9192982456140351, -0.8253947368421053]",1.0,"[1.0, 1.0]",,1.4569789743230397,"[None, None]",LAYER_SPECIFIC_DIRECTION
"A_prompt (HARD-scored, EASY-fit axis)",huihui-ai--Huihui-Qwen3-1.7B-abliterated-v2,huihui-ai--Huihui-Qwen3-1.7B-abliterated-v2,s25,7.0,-0.1893832546686425,"[-0.510193119233403, 0.10413472679587724]",0.23997741389045738,"[-0.68514963297572, 0.6818746470920382]",,"[None, None]",,1.7671147878621194,"[1.0, 0.0248979851603508]",UNDEFINED_START_GAP_NOT_POSITIVE
"A_prompt (EASY cross-fitted, in-distribution)",huihui-ai--Huihui-Qwen3-1.7B-abliterated-v2,huihui-ai--Huihui-Qwen3-1.7B-abliterated-v2,s25,7.0,3.642892513755807,"[2.6735765894230243, 5.153373122143864]",-0.7775268210050819,"[-0.883681535855449, -0.6408808582721626]",1.0,"[1.0, 1.0]",,1.0,"[None, None]",NO_GROWTH
