site,alpha,lineage,contrast_auroc,contrast_auroc_ci,contrast_tpr1,contrast_tpr1_ci,contrast_tpr5,contrast_tpr5_ci
PROMPT,0.50,L1,-0.00048828125,"[-0.0022786458333333703, 0.0009765625]",-0.04166666666666674,"[-0.08333333333333337, 0.02083333333333326]",-0.01041666666666663,"[-0.02083333333333337, 0.03125]"
PROMPT,0.50,L2,0.0022243923611111605,"[-0.0013576931423610243, 0.00618489583333337]",-0.11458333333333337,"[-0.16666666666666663, 0.05208333333333337]",0.01041666666666663,"[-0.01041666666666663, 0.08359374999999872]"
PROMPT,0.50,L3,0.0011393229166667407,"[-0.0034735785590277652, 0.00575086805555558]",-0.1875000000000001,"[-0.25, 0.06276041666666535]",0.03125,"[-0.01041666666666674, 0.10416666666666663]"
PROMPT,1.00,L1,-0.0020616319444444198,"[-0.005372450086805555, 0.0007595486111110523]",-0.05208333333333337,"[-0.09375, 0.0]",0.0,"[-0.04166666666666663, 0.03125]"
PROMPT,1.00,L2,0.01974826388888895,"[0.004446072048611099, 0.0353746202256945]",-0.08333333333333326,"[-0.17708333333333337, 0.125]",0.05208333333333337,"[-0.020833333333333374, 0.14583333333333337]"
PROMPT,1.00,L3,0.01616753472222232,"[0.0002143012152777292, 0.03233506944444442]",-0.125,"[-0.34375, 0.21875]",0.08333333333333337,"[-0.02083333333333337, 0.1562500000000001]"
EARLY,0.50,L1,0.00022379557291662966,"[-0.0007936265733506948, 0.0012139214409721017]",0.020833333333333426,"[-0.03125, 0.046875]",-0.01822916666666663,"[-0.03645833333333326, 0.02864583333333337]"
EARLY,0.50,L2,-0.0011732313368055802,"[-0.002719455295138842, 0.00030517578125000276]",-0.02083333333333326,"[-0.08333333333333326, 0.04433593749999968]",-0.01302083333333337,"[-0.04166666666666663, 0.03124999999999989]"
EARLY,0.50,L3,-0.0018310546875,"[-0.003317091200086733, -0.00048777262369781305]",-0.02083333333333337,"[-0.09374999999999994, 0.06770833333333337]",-0.01822916666666663,"[-0.04427083333333337, 0.02604166666666663]"
EARLY,1.00,L1,-0.0011257595486111605,"[-0.0030181884765624416, 0.0005155775282118515]",5.551115123125783e-17,"[-0.0703125, 0.07291666666666669]",-0.02083333333333326,"[-0.05989583333333326, 0.046875]"
EARLY,1.00,L2,-0.0014309353298611605,"[-0.006469726562499889, 0.0031738281249998916]",-0.0703125,"[-0.20052083333333331, 0.15885416666666663]",-0.03385416666666663,"[-0.08854166666666663, 0.05989583333333337]"
EARLY,1.00,L3,-0.00615098741319442,"[-0.010755750868055473, -0.0019799126519096646]",-0.08854166666666674,"[-0.23958333333333326, 0.16666666666666663]",-0.03385416666666663,"[-0.09635416666666663, 0.05208333333333337]"
LATE,0.50,L1,9.494357638883955e-05,"[-0.0020345052083333703, 0.002136400010850799]",-0.01041666666666663,"[-0.05729166666666663, 0.057291666666666685]",0.01041666666666663,"[-0.031249999999999892, 0.06256510416666641]"
LATE,0.50,L2,-0.0012071397569445308,"[-0.0034654405381944224, 0.0010786268446180201]",0.002604166666666685,"[-0.078125, 0.1171875]",0.015625,"[-0.05208333333333337, 0.046875]"
LATE,0.50,L3,-0.002129448784722321,"[-0.004177686903211744, -0.00025753445095477815]",0.010416666666666685,"[-0.07291666666666663, 0.07552083333333337]",0.0234375,"[-0.04687500000000011, 0.059960937499999784]"
LATE,1.00,L1,6.103515624988898e-05,"[-0.003759426540798671, 0.0040162828233506614]",-0.0859375,"[-0.18489583333333331, 0.09641927083333304]",-0.01562500000000011,"[-0.08854166666666657, 0.09374999999999994]"
LATE,1.00,L2,-0.000915527343750111,"[-0.007195705837673599, 0.005812581380208245]",0.015625,"[-0.14850260416666666, 0.23958333333333326]",-0.0390625,"[-0.1067708333333332, 0.09902343749999967]"
LATE,1.00,L3,-0.003343370225694531,"[-0.008830939398871598, 0.002571445041232644]",-0.031250000000000056,"[-0.16412760416666666, 0.20846354166666606]",0.005208333333333259,"[-0.1015625, 0.09635416666666663]"
