pair,parent,child,effectiveness_label_iter2,measured_dHC,measured_dOR,dHC_newcombe_ci,label_robust_recomputed,delta_peak_d,delta_peak_d_ci95,delta_tpr5_own_peak,delta_tpr5_own_peak_ci95,delta_tpr5_recognition_json,delta_tpr5_recognition_json_ci95,delta_tpr5_recognition_json_ci90,delta_tpr5_recognition_json_verdict,delta_peak_drive_easy,delta_peak_drive_easy_ci95,delta_BL1_easy,delta_BL1_easy_ci95,delta_BL1_hard,delta_BL1_hard_ci95
P0,Qwen/Qwen3-4B,mlabonne/Qwen3-4B-abliterated,EFFECTIVE,0.7333333333333333,-0.4444444444444444,"[0.5695, 0.8404]",EFFECTIVE,-1.7342773262588427,"[-2.348837248576595, -1.189229078930287]",-0.675,"[-0.8503125, -0.5375]",-0.03749999999999998,,"[-0.15000000000000002, 0.125]",INCONCLUSIVE_UNDERPOWERED,-3.007514476776123,"[-5.68048802614212, -0.905241721868515]",-6.881038665771484,"[-8.589688205718994, -5.3732432484626775]",-3.2354369163513184,"[-4.383279633522034, -1.9300862312316895]"
P1,Qwen/Qwen3-0.6B,huihui-ai/Huihui-Qwen3-0.6B-abliterated-v2,EFFECTIVE,0.4666666666666667,-0.06666666666666667,"[0.2697, 0.6155]",EFFECTIVE,-1.344447933083735,"[-1.7622887195948844, -1.0095395684369808]",-0.325,"[-0.575, 0.0375]",0.16250000000000003,,"[-0.050000000000000044, 0.30000000000000004]",INCONCLUSIVE_UNDERPOWERED,-0.09901946783065796,"[-0.562873250246048, 0.1046690732240675]",-0.32412445545196533,"[-0.9355288147926331, 0.22828567475080486]",-0.45554161071777344,"[-0.9782654374837875, 0.05260773599147792]"
P2,Qwen/Qwen3-1.7B,huihui-ai/Huihui-Qwen3-1.7B-abliterated-v2,EFFECTIVE,0.6666666666666666,-0.4,"[0.5009, 0.7864]",EFFECTIVE,-1.9129827193921165,"[-2.492312723427398, -1.4618531795897705]",-0.7125,"[-0.8375, -0.475]",-0.21250000000000002,,"[-0.38749999999999996, -0.04999999999999993]",SUPPORTED,-2.9478025436401367,"[-4.161638164520264, -1.3698072582483296]",-3.97227144241333,"[-5.291238307952881, -2.6567329287529002]",-1.4059584140777588,"[-2.7631692826747893, -0.08000777661800434]"
P3,Qwen/Qwen2.5-1.5B-Instruct,Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,EFFECTIVE,0.4666666666666667,-0.6888888888888889,"[0.3084, 0.6092]",EFFECTIVE,-1.0379457885862173,"[-1.4186653792531938, -0.6717701886553036]",-0.5375,"[-0.6878124999999999, -0.35000000000000003]",-0.25,,"[-0.36250000000000004, 0.0]",INCONCLUSIVE_UNDERPOWERED,-8.397163391113281,"[-9.309273815155029, -6.898911738395691]",-1.7442940473556519,"[-2.337030774354935, -1.217690894007683]",-0.33743274211883545,"[-0.6581015363335609, -0.04782640598714362]"
P6,ibm-granite/granite-3.2-2b-instruct,Damien420/granite-3.2-2b-instruct-abliterated,NULL_EDIT,0.0,-0.022222222222222254,"[-0.0787, 0.0787]",NULL_EDIT,0.09105794578437809,"[-0.013322571019331585, 0.2042472351331257]",0.08750000000000002,"[-0.4378125, 0.2625]",0.050000000000000044,,"[-0.03749999999999998, 0.09999999999999998]",INCONCLUSIVE_UNDERPOWERED,-2.488452911376953,"[-3.8330946922302247, -0.7610280990600596]",-4.824623107910156,"[-6.7681502342224125, -3.089884185791016]",-2.2713661193847656,"[-3.809402656555176, -0.7765830993652353]"
P4,HuggingFaceTB/SmolLM3-3B,mlx-community/SmolLM3-3B-abliterated-bf16,EFFECTIVE,0.2888888888888889,-0.06666666666666667,"[0.0856, 0.4612]",AMBIGUOUS,-1.592143108279369,"[-2.1021806642239995, -1.1645853697860664]",-0.7374999999999999,"[-0.8375, -0.525]",-0.012500000000000067,,"[-0.10000000000000009, 0.050000000000000044]",INCONCLUSIVE_UNDERPOWERED,-0.5662136077880859,"[-2.189510262012482, 0.4893603146076198]",-1.3739173412322998,"[-1.7449947893619537, -1.0178396433591843]",-1.1358778476715088,"[-1.408914530277252, -0.8260116338729859]"
P5,microsoft/Phi-4-mini-instruct,lunahr/Phi-4-mini-instruct-abliterated,EFFECTIVE,0.24444444444444444,-0.6590909090909091,"[0.1156, 0.3867]",AMBIGUOUS,-0.8197874913683267,"[-1.1999842978864292, -0.4535007685886765]",-0.26249999999999996,"[-0.7625000000000001, -0.0871875000000002]",-0.0625,,"[-0.2124999999999999, 0.02499999999999991]",INCONCLUSIVE_UNDERPOWERED,-13.027149200439453,"[-14.379025220870972, -11.693590092658997]",-6.153071403503418,"[-6.678050148487091, -5.569061899185181]",-2.0744025707244873,"[-2.678142273426056, -1.494593608379364]"
S1,stabilityai/stablelm-2-1_6b-chat,hereticness/heretic_stablelm-2-1_6b-chat,ANOMALOUS,-0.1111111111111111,-0.022222222222222223,"[-0.2996, 0.0894]",AMBIGUOUS,-0.10795611958643925,"[-0.22862621592104998, 0.0066317190743784655]",-0.07500000000000001,"[-0.1625, 0.125]",0.04999999999999993,,"[-0.2124999999999999, 0.26249999999999996]",INCONCLUSIVE_UNDERPOWERED,-0.2864995002746582,"[-0.7991438746452332, 0.14419431984424583]",-0.7276415824890137,"[-1.2757504850625991, -0.171229785680771]",0.02464461326599121,"[-0.304789611697197, 0.33414176106452936]"
S2,HuggingFaceTB/SmolLM2-1.7B-Instruct,venkycs/SmolLM2-1.7B-Instruct-Abliterated,ANOMALOUS,-0.2,0.9777777777777777,"[-0.3382, -0.0797]",AMBIGUOUS,-1.520339917712098,"[-2.1737449397204713, -0.971368936276095]",-0.6000000000000001,"[-0.7875, -0.14999999999999997]",-0.6875,,"[-0.825, -0.475]",SUPPORTED,-2.2879042625427246,"[-3.580404043197632, -1.9880456119775773]",-0.2854191064834595,"[-0.8380373850464821, 0.3109945230185985]",-0.9774030447006226,"[-1.304713323712349, -0.6500897154212]"
Base->instruct,Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B,,,,"[-0.1157, 0.0585]",AMBIGUOUS,1.9073675703083528,"[1.3881504329143977, 2.5960072442897024]",0.5875,"[0.4375, 0.7625]",0.4,,"[0.136875, 0.7625]",SUPPORTED,3.3500823974609375,"[1.2204994201660155, 5.894117701053618]",5.222329139709473,"[2.898697239160538, 7.715478813648223]",4.673633575439453,"[3.2737179517745973, 5.891761815547943]"
