lineage,site,layer,probe,cls,auroc0,tpr1_0,n_pos,n_neg,smallest_resolvable_fpr,note_0_1pct_fpr,mde_auroc_hanley_mcneil,margin_to_threshold_sd_units,sentence,mde_tpr1_mcnemar,mde_bootstrap_shift_f,group,read_site
L1,EARLY,13,diffmeans,CONTINUATION,0.9998304578993056,0.9947916666666666,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010462700075782982,-0.4780420905472274,"At n_pos=384, n_neg=384, a drop of AUROC from 0.9998 to 0.9894 or of TPR@1%FPR by 0.0206 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.02062484622001648,0.05,,
L1,EARLY,13,logistic,CONTINUATION,1.0,1.0,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010294423362655958,0.831247806132988,"At n_pos=384, n_neg=384, a drop of AUROC from 1.0000 to 0.9897 or of TPR@1%FPR by 0.0204 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020404815673828125,0.35,,
L1,EARLY,14,diffmeans,CONTINUATION,0.9999864366319444,1.0,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010308085120571686,-0.08060484906993863,"At n_pos=384, n_neg=384, a drop of AUROC from 1.0000 to 0.9897 or of TPR@1%FPR by 0.0205 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020467758178710938,0.1,,
L1,EARLY,14,logistic,CONTINUATION,1.0,1.0,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010294423362655958,1.0023532616326836,"At n_pos=384, n_neg=384, a drop of AUROC from 1.0000 to 0.9897 or of TPR@1%FPR by 0.0204 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020431160926818848,0.35,,
L1,EARLY,15,diffmeans,CONTINUATION,0.9999593098958334,0.9973958333333334,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010335301917933859,-0.17690263059699826,"At n_pos=384, n_neg=384, a drop of AUROC from 1.0000 to 0.9896 or of TPR@1%FPR by 0.0206 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.0206490159034729,0.05,,
L1,EARLY,15,logistic,CONTINUATION,1.0,1.0,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010294423362655958,1.1964990785811354,"At n_pos=384, n_neg=384, a drop of AUROC from 1.0000 to 0.9897 or of TPR@1%FPR by 0.0205 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020540982484817505,0.35,,
L1,EARLY,16,diffmeans,CONTINUATION,0.9999254014756944,0.9973958333333334,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010369125668467816,-0.28947608275326997,"At n_pos=384, n_neg=384, a drop of AUROC from 0.9999 to 0.9896 or of TPR@1%FPR by 0.0205 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.02052822709083557,0.05,,
L1,EARLY,16,logistic,CONTINUATION,1.0,1.0,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010294423362655958,1.0620369994111742,"At n_pos=384, n_neg=384, a drop of AUROC from 1.0000 to 0.9897 or of TPR@1%FPR by 0.0206 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020599395036697388,0.35,,
L1,EARLY,17,diffmeans,CONTINUATION,0.9998982747395834,0.9973958333333334,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010396029502620863,-0.3693633243625885,"At n_pos=384, n_neg=384, a drop of AUROC from 0.9999 to 0.9895 or of TPR@1%FPR by 0.0205 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020478874444961548,0.05,,
L1,EARLY,17,logistic,CONTINUATION,1.0,1.0,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010294423362655958,0.9038575254107499,"At n_pos=384, n_neg=384, a drop of AUROC from 1.0000 to 0.9897 or of TPR@1%FPR by 0.0205 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020453810691833496,0.35,,
L1,EARLY,18,diffmeans,CONTINUATION,0.9997965494791666,0.9921875,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010495727253775455,-0.6806551772318379,"At n_pos=384, n_neg=384, a drop of AUROC from 0.9998 to 0.9893 or of TPR@1%FPR by 0.0207 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020675957202911377,0.05,,
L1,EARLY,18,logistic,CONTINUATION,1.0,1.0,384,384,0.0026041666666666665,0.1%FPR NOT reportable (n_neg<1000),0.010294423362655958,0.4030215897680514,"At n_pos=384, n_neg=384, a drop of AUROC from 1.0000 to 0.9897 or of TPR@1%FPR by 0.0206 (fraction of hits lost) would have been detected with ~80% power; the observed alpha=1.00 change on this cell was d_auroc=0.0, d_tpr1=0.0 [[0.0, 0.0]].",0.020585328340530396,0.35,,
