lineage,alpha,site,auroc,auroc_ci,tpr1,tpr1_ci,tpr5,tpr5_ci,d_auroc,d_auroc_ci,d_tpr1,d_tpr1_ci,d_tpr5,d_tpr5_ci,n_pos,n_neg
L1,0.00,PROMPT,0.9889322916666666,"[0.9758002387152778, 0.9976128472222222]",0.9166666666666666,"[0.8645833333333334, 0.96875]",0.9375,"[0.8854166666666666, 0.9895833333333334]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L1,0.25,PROMPT,0.9893663194444444,"[0.9765597873263889, 0.9979383680555556]",0.9166666666666666,"[0.8645833333333334, 0.96875]",0.9479166666666666,"[0.8958333333333334, 0.9895833333333334]",0.0004340277777777901,"[0.0, 0.0015190972222222099]",0.0,"[0.0, 0.02083333333333337]",0.01041666666666663,"[0.0, 0.03125]",384,384
L1,0.50,PROMPT,0.9893663194444444,"[0.9763454861111112, 0.998046875]",0.9166666666666666,"[0.8645833333333334, 0.9791666666666666]",0.9479166666666666,"[0.8958333333333334, 0.9895833333333334]",0.0004340277777777901,"[-0.00032552083333337034, 0.0016276041666666297]",0.0,"[0.0, 0.03125]",0.01041666666666663,"[0.0, 0.03125]",384,384
L1,0.75,PROMPT,0.9890407986111112,"[0.9758029513888888, 0.9977213541666666]",0.8958333333333334,"[0.84375, 0.96875]",0.9479166666666666,"[0.8958333333333334, 0.9895833333333334]",0.0001085069444445308,"[-0.0015190972222222099, 0.0016276041666666297]",-0.02083333333333326,"[-0.05208333333333337, 0.03125]",0.01041666666666663,"[0.0, 0.03125]",384,384
L1,1.00,PROMPT,0.9868706597222222,"[0.9729261610243056, 0.9962022569444444]",0.875,"[0.8125, 0.9583333333333334]",0.9270833333333334,"[0.8645833333333334, 0.9791666666666666]",-0.0020616319444444198,"[-0.006457519531250083, 0.0011935763888888395]",-0.04166666666666663,"[-0.09375, 0.02083333333333326]",-0.01041666666666663,"[-0.0625, 0.02083333333333337]",384,384
L1,0.00,EARLY,0.9633043077256944,"[0.9429511176215278, 0.9799947102864583]",0.5208333333333334,"[0.40358072916666665, 0.7421875]",0.828125,"[0.6457682291666667, 0.9036458333333334]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L1,0.25,EARLY,0.9625311957465278,"[0.9418926662868924, 0.9795416937934027]",0.5026041666666666,"[0.3932291666666667, 0.7395833333333334]",0.8229166666666666,"[0.6380208333333334, 0.9036458333333334]",-0.0007731119791666297,"[-0.0013498942057291769, -0.00023057725694452803]",-0.01822916666666674,"[-0.02864583333333337, 0.01569010416666631]",-0.00520833333333337,"[-0.02083333333333337, 0.00520833333333337]",384,384
L1,0.50,EARLY,0.9611545138888888,"[0.9403988308376736, 0.9783816867404513]",0.4973958333333333,"[0.38274739583333334, 0.7369791666666666]",0.8229166666666666,"[0.6354166666666666, 0.8984375]",-0.0021497938368055802,"[-0.00328911675347221, -0.0010782877604167407]",-0.023437500000000056,"[-0.052083333333333315, 0.03125]",-0.00520833333333337,"[-0.03645833333333326, 0.01041666666666663]",384,384
L1,0.75,EARLY,0.9597439236111112,"[0.938328382703993, 0.9776094224717882]",0.4817708333333333,"[0.375, 0.7265625]",0.8203125,"[0.6380208333333334, 0.8932291666666666]",-0.0035603841145832593,"[-0.005459425184461744, -0.0018441094292533905]",-0.039062500000000056,"[-0.0703125, 0.046875]",-0.0078125,"[-0.0625, 0.01302083333333337]",384,384
L1,1.00,EARLY,0.9554985894097222,"[0.9330210367838542, 0.974623277452257]",0.4817708333333333,"[0.34375, 0.6875]",0.7734375,"[0.6197916666666666, 0.875]",-0.00780571831597221,"[-0.01138000488281255, -0.004468621148003499]",-0.039062500000000056,"[-0.125, 0.03125]",-0.0546875,"[-0.09635416666666663, 0.0026041666666666297]",384,384
L1,0.00,LATE,0.9102715386284722,"[0.8832414415147569, 0.9342810736762153]",0.375,"[0.171875, 0.5651041666666666]",0.6432291666666666,"[0.5078125, 0.7604166666666666]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L1,0.25,LATE,0.9089558919270834,"[0.8817869398328994, 0.9330986870659722]",0.3671875,"[0.171875, 0.546875]",0.6432291666666666,"[0.5052083333333334, 0.7552083333333334]",-0.0013156467013888395,"[-0.00244140625, -0.00024397108289930618]",-0.0078125,"[-0.04166666666666663, 0.01302083333333337]",0.0,"[-0.04433593750000003, 0.015625]",384,384
L1,0.50,LATE,0.9076334635416666,"[0.8803670247395833, 0.9326043023003472]",0.3802083333333333,"[0.171875, 0.5338541666666666]",0.6328125,"[0.4869791666666667, 0.734375]",-0.0026380750868055802,"[-0.00469970703125, -0.0004067314995659386]",0.005208333333333315,"[-0.06510416666666663, 0.03645833333333337]",-0.01041666666666663,"[-0.05989583333333337, 0.0078125]",384,384
L1,0.75,LATE,0.9046630859375,"[0.8769034491644966, 0.9302335951063367]",0.375,"[0.1640625, 0.49225260416666633]",0.6171875,"[0.4505208333333333, 0.7083333333333334]",-0.00560845269097221,"[-0.008918592664930567, -0.0021021525065104637]",0.0,"[-0.10416666666666663, 0.044270833333333315]",-0.02604166666666663,"[-0.0964192708333334, 0.02864583333333326]",384,384
L1,1.00,LATE,0.8954739040798612,"[0.8679707845052084, 0.9215440538194444]",0.2916666666666667,"[0.140625, 0.4479166666666667]",0.578125,"[0.4166666666666667, 0.6693359374999996]",-0.01479763454861105,"[-0.020935228135850695, -0.008156670464409698]",-0.08333333333333331,"[-0.16933593750000003, 0.03645833333333337]",-0.06510416666666663,"[-0.15104166666666663, 0.0]",384,384
L2,0.00,PROMPT,0.9819878472222222,"[0.9591878255208333, 0.9966362847222222]",0.8020833333333334,"[0.7291666666666666, 0.9583333333333334]",0.9375,"[0.875, 0.9895833333333334]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L2,0.25,PROMPT,0.9813368055555556,"[0.9584391276041667, 0.99609375]",0.84375,"[0.78125, 0.9583333333333334]",0.9270833333333334,"[0.875, 0.9791666666666666]",-0.0006510416666666297,"[-0.002712673611111052, 0.0010850694444444198]",0.04166666666666663,"[-0.02083333333333337, 0.07291666666666674]",-0.01041666666666663,"[-0.03125, 0.0]",384,384
L2,0.50,PROMPT,0.9797092013888888,"[0.9564805772569445, 0.9950086805555556]",0.875,"[0.8125, 0.9479166666666666]",0.9270833333333334,"[0.84375, 0.9791666666666666]",-0.0022786458333333703,"[-0.00596788194444442, 0.0010850694444444198]",0.07291666666666663,"[-0.0625, 0.125]",-0.01041666666666663,"[-0.07291666666666663, 0.01041666666666663]",384,384
L2,0.75,PROMPT,0.9742296006944444,"[0.9503567165798611, 0.9915364583333334]",0.8541666666666666,"[0.78125, 0.9270833333333334]",0.9166666666666666,"[0.8125, 0.96875]",-0.00775824652777779,"[-0.015409342447916604, -0.0011935763888888395]",0.05208333333333326,"[-0.10416666666666674, 0.11458333333333326]",-0.02083333333333337,"[-0.10416666666666663, 0.01041666666666663]",384,384
L2,1.00,PROMPT,0.9581163194444444,"[0.9318495008680555, 0.9806857638888888]",0.7916666666666666,"[0.71875, 0.8854166666666666]",0.875,"[0.7708333333333334, 0.9375]",-0.02387152777777779,"[-0.03993055555555558, -0.009437391493055534]",-0.01041666666666674,"[-0.17708333333333337, 0.07291666666666663]",-0.0625,"[-0.14583333333333337, 0.0]",384,384
L2,0.00,EARLY,0.98931884765625,"[0.9788742065429688, 0.9973146226671007]",0.6875,"[0.5884765625, 0.9401041666666666]",0.9635416666666666,"[0.875, 0.9947916666666666]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L2,0.25,EARLY,0.9893052842881944,"[0.9789560953776042, 0.9971245659722222]",0.7109375,"[0.6041666666666666, 0.9375]",0.9609375,"[0.8776041666666666, 0.9947916666666666]",-1.3563368055580227e-05,"[-0.0006374782986111605, 0.0005696614583333703]",0.0234375,"[-0.01302083333333326, 0.0390625]",-0.0026041666666666297,"[-0.01822916666666674, 0.015625]",384,384
L2,0.50,EARLY,0.9885660807291666,"[0.9778327094184027, 0.9967252943250868]",0.7057291666666666,"[0.5806640625, 0.9270833333333334]",0.953125,"[0.8723307291666667, 0.9921875]",-0.0007527669270833703,"[-0.0019395616319444226, 0.0002983940972222099]",0.01822916666666663,"[-0.03645833333333326, 0.0625]",-0.01041666666666663,"[-0.03125, 0.018229166666666633]",384,384
L2,0.75,EARLY,0.9870808919270834,"[0.9757736206054688, 0.995741441514757]",0.7239583333333334,"[0.5259765625, 0.9114583333333334]",0.9505208333333334,"[0.8645833333333334, 0.984375]",-0.0022379557291666297,"[-0.004089525010850695, -0.0005559285481770963]",0.03645833333333337,"[-0.0859375, 0.10677083333333337]",-0.01302083333333326,"[-0.0417317708333334, 0.01822916666666663]",384,384
L2,1.00,EARLY,0.9818183051215278,"[0.9691958957248265, 0.9919986300998264]",0.71875,"[0.4375, 0.8645833333333334]",0.921875,"[0.8203125, 0.9661458333333334]",-0.00750054253472221,"[-0.011285230848524294, -0.00400797526041663]",0.03125,"[-0.19791666666666663, 0.09114583333333337]",-0.04166666666666663,"[-0.07819010416666666, 0.005208333333333262]",384,384
L2,0.00,LATE,0.9721544053819444,"[0.9579126993815105, 0.9851084391276042]",0.6197916666666666,"[0.4739583333333333, 0.7969401041666663]",0.8177083333333334,"[0.7395833333333334, 0.9270833333333334]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L2,0.25,LATE,0.9723307291666666,"[0.9578379313151042, 0.9851348876953125]",0.6015625,"[0.4713541666666667, 0.7890625]",0.8229166666666666,"[0.7447265625, 0.9322916666666666]",0.00017632378472220989,"[-0.0009428236219618524, 0.001363457573784758]",-0.01822916666666663,"[-0.04427083333333337, 0.0390625]",0.005208333333333259,"[-0.02864583333333326, 0.0234375]",384,384
L2,0.50,LATE,0.9708184136284722,"[0.9557900322808159, 0.984226820203993]",0.6119791666666666,"[0.41139322916666665, 0.7864583333333334]",0.8020833333333334,"[0.7473958333333334, 0.921875]",-0.0013359917534722099,"[-0.0037706163194444198, 0.0007936265733506938]",-0.0078125,"[-0.12766927083333335, 0.059895833333333315]",-0.015625,"[-0.03912760416666666, 0.03125]",384,384
L2,0.75,LATE,0.9689737955729166,"[0.9534347534179688, 0.9830869886610243]",0.5390625,"[0.3697265625, 0.7708333333333334]",0.8177083333333334,"[0.734375, 0.90625]",-0.00318060980902779,"[-0.006917656792534757, 0.00014292399088544904]",-0.08072916666666663,"[-0.19270833333333331, 0.03385416666666663]",0.0,"[-0.04947916666666674, 0.03645833333333337]",384,384
L2,1.00,LATE,0.9583333333333334,"[0.9405834621853298, 0.9746231079101563]",0.4348958333333333,"[0.23697916666666666, 0.6822916666666666]",0.7760416666666666,"[0.6458333333333334, 0.8516276041666663]",-0.01382107204861105,"[-0.02092912462022568, -0.007350497775607586]",-0.18489583333333331,"[-0.359375, -0.013020833333333369]",-0.04166666666666674,"[-0.140625, -0.00520833333333337]",384,384
L3,0.00,PROMPT,0.9841579861111112,"[0.9660373263888888, 0.9971788194444444]",0.65625,"[0.5729166666666666, 0.9583333333333334]",0.9583333333333334,"[0.875, 0.9895833333333334]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
L3,0.25,PROMPT,0.9832356770833334,"[0.965380859375, 0.9965277777777778]",0.7083333333333334,"[0.625, 0.9479166666666666]",0.9479166666666666,"[0.8541666666666666, 0.9895833333333334]",-0.0009223090277777901,"[-0.003148057725694506, 0.001410590277777679]",0.05208333333333337,"[-0.05208333333333337, 0.09375]",-0.01041666666666674,"[-0.05208333333333337, 0.02083333333333326]",384,384
L3,0.50,PROMPT,0.9829644097222222,"[0.9652777777777778, 0.9958767361111112]",0.8020833333333334,"[0.7291666666666666, 0.9375]",0.9270833333333334,"[0.84375, 0.9791666666666666]",-0.0011935763888889506,"[-0.00531684027777779, 0.0037977430555555802]",0.14583333333333337,"[-0.08333333333333326, 0.20833333333333337]",-0.03125,"[-0.07317708333333339, 0.02083333333333337]",384,384
L3,0.75,PROMPT,0.9771050347222222,"[0.95654296875, 0.9930555555555556]",0.8125,"[0.7395833333333334, 0.9270833333333334]",0.90625,"[0.8229166666666666, 0.96875]",-0.007052951388888951,"[-0.01540798611111116, 0.001410590277777682]",0.15625,"[-0.13541666666666663, 0.23958333333333326]",-0.05208333333333337,"[-0.10416666666666663, 0.01041666666666674]",384,384
L3,1.00,PROMPT,0.9638671875,"[0.9392361111111112, 0.9844835069444444]",0.6875,"[0.6041666666666666, 0.8958333333333334]",0.8645833333333334,"[0.7916666666666666, 0.9375]",-0.02029079861111116,"[-0.036461046006944484, -0.0048828125]",0.03125,"[-0.27083333333333326, 0.25]",-0.09375,"[-0.15625, -0.01041666666666663]",384,384
L3,0.00,EARLY,0.9889662000868056,"[0.9774219089084202, 0.9969823201497395]",0.7057291666666666,"[0.6067708333333334, 0.9453125]",0.9609375,"[0.835546875, 0.9947916666666666]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",384,384
